采样时间,设备名称,卷标,分区1,分区2,分区3,分区4,分区5,分区6,分区7,分区8,分区9,分区10,分区11,纵向趋势,传动侧厚度,操作侧厚度
[2022/7/29 2:20:13],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,3.090172E-16,3.064753E-16
[2022/7/29 2:20:27],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.236069E-16,1.225901E-16
[2022/7/29 2:20:40],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,4.944275E-17,4.903604E-17
[2022/7/29 2:20:54],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.97771E-17,1.961441E-17
[2022/7/29 2:21:08],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,7.910839E-18,7.845765E-18
[2022/7/29 2:21:23],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,3.164335E-18,3.138306E-18
[2022/7/29 2:21:37],XYR0001,1,0,0,0,0,0,0,0,0,0,0,0,0,1.265734E-18,1.255322E-18
[2022/7/29 2:21:51],XYR0001,1,0,0,0,0,0,0,0,115.2651,113.4825,112.2615,111.6807,113.1725,5.062936E-19,40.9211
[2022/7/29 2:22:05],XYR0001,1,115.1636,114.6219,114.1338,114.5011,113.5636,113.6369,113.7192,114.0501,113.1423,112.4299,111.7499,113.7011,68.52307,84.40585
[2022/7/29 2:22:18],XYR0001,1,114.9082,114.1348,114.262,114.0981,113.3409,113.478,113.2022,112.973,112.6369,112.4094,111.3659,113.3463,95.7846,101.5263
[2022/7/29 2:22:32],XYR0001,1,114.9464,114.152,113.8088,113.7423,113.5493,113.5197,113.631,113.0391,112.341,112.1368,111.3146,113.2892,106.6017,108.3706
[2022/7/29 2:22:46],XYR0001,1,114.754,113.9056,113.5867,113.5115,113.2608,113.3824,113.3734,112.7866,112.2098,112.0531,0,113.2824,110.7804,111.0049
[2022/7/29 2:23:00],XYR0001,1,114.0311,113.3711,113.4337,113.2773,113.1681,113.0406,113.1478,112.9869,112.3812,111.8236,111.4041,112.915,112.2997,112.0076
[2022/7/29 2:23:14],XYR0001,1,114.7393,113.5035,113.6929,113.5089,113.183,113.099,113.0086,112.8114,112.5555,112.2032,111.0669,113.0338,113.0031,112.4443
[2022/7/29 2:23:28],XYR0001,1,114.5264,113.7951,113.6832,113.4051,113.3845,113.5947,113.2337,112.8231,112.2851,112.092,0,113.2823,113.3414,112.6612
[2022/7/29 2:23:42],XYR0001,1,115.1454,114.0499,113.3704,113.7639,113.0179,113.2301,113.0178,112.8182,112.6012,112.3408,111.6968,113.1866,113.4669,112.7454
[2022/7/29 2:23:56],XYR0001,1,114.7345,114.0897,113.5088,113.5838,112.9807,113.2553,113.3817,112.8523,112.6227,112.4833,112.3372,113.2573,113.5112,112.8496
[2022/7/29 2:24:10],XYR0001,1,114.3724,113.6433,113.1244,113.466,112.8095,112.6937,112.6018,112.5304,112.2275,112.3019,112.1304,112.9001,113.361,112.6225
[2022/7/29 2:24:24],XYR0001,1,113.508,113.3589,113.1219,113.2885,113.0287,112.7714,113.1508,112.4519,112.1233,112.2927,0,112.9096,113.2641,112.5838
[2022/7/29 2:24:38],XYR0001,1,113.0542,113.4995,113.0987,113.1443,112.8551,112.6699,113.0786,112.5399,112.2071,112.1487,112.6154,112.8101,113.1953,112.5508
[2022/7/29 2:24:51],XYR0001,1,112.9988,113.3193,113.1177,113.167,112.8921,112.8205,113.3312,112.6566,112.3001,112.1134,112.6096,112.8479,113.1525,112.6069
[2022/7/29 2:25:05],XYR0001,1,112.8639,113.5142,113.118,113.1219,112.8133,112.6909,113.1441,112.6116,112.2689,112.0855,112.7318,112.8149,113.1461,112.5789
